,url,title,Date,Author(s),Topic(s),Subject(s),CCLS,Grade(s),Like,Total Files,Files Size (MB)
35,https://www.engageny.org/content/nysut-rubric-teacher-responds-students-questions-and-comments,NYSUT Rubric: Teacher Responds to Students' Questions and Comments,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,150,1,0.13706111907958984
36,https://www.engageny.org/content/nysut-rubric-teacher-uses-questioning-techniques-engage-students,NYSUT Rubric: Teacher Uses Questioning Techniques to Engage Students,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,165,1,0.13706111907958984
37,https://www.engageny.org/content/nysut-rubric-teacher-provides-directions-and-procedures,NYSUT Rubric: Teacher Provides Directions and Procedures,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,226,1,0.13706111907958984
38,https://www.engageny.org/content/nysut-rubric-teacher-engages-students-learning,NYSUT Rubric: Teacher Engages Students in Learning,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,164,1,0.13706111907958984
39,https://www.engageny.org/content/nysut-rubric-teacher-aligns-instruction-standards,NYSUT Rubric: Teacher Aligns Instruction to Standards,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,206,1,0.13706111907958984
40,https://www.engageny.org/content/nysut-rubric-teacher-selects-appropriate-curricular-materials-and-resources,NYSUT Rubric: Teacher Selects Appropriate Curricular Materials and Resources,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,128,1,0.13706111907958984
41,https://www.engageny.org/content/danielson-rubric-teacher-persists-when-students-encounter-difficulty-learning,Danielson Rubric: Teacher Persists When Students Encounter Difficulty in Learning,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,151,1,0.17728042602539062
42,https://www.engageny.org/content/danielson-rubric-teacher-responds-unexpected-event,Danielson Rubric: Teacher Responds to an Unexpected Event,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,207,1,0.17728042602539062
43,https://www.engageny.org/content/danielson-rubric-teacher-makes-adjustments-mid-lesson,Danielson Rubric: Teacher Makes Adjustments Mid-Lesson,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,135,1,0.17728042602539062
44,https://www.engageny.org/content/danielson-rubric-teacher-empowers-students-monitor-their-own-learning-and-take-appropriate,Danielson Rubric: Teacher Empowers Students to Monitor Their Own Learning and Take Appropriate Action,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,104,1,0.17728042602539062
45,https://www.engageny.org/content/danielson-rubric-teacher-provides-feedback-students,Danielson Rubric: Teacher Provides Feedback to Students,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,193,1,0.17728042602539062
46,https://www.engageny.org/content/danielson-rubric-teacher-monitors-learning-through-effective-assessment,Danielson Rubric: Teacher Monitors Learning Through Effective Assessment,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,210,1,0.17728042602539062
47,https://www.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,Danielson Rubric: Teacher Selects Engaging Instructional Materials,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,173,1,0.17728042602539062
48,https://www.engageny.org/content/danielson-rubric-teacher-groups-students-effectively,Danielson Rubric: Teacher Groups Students Effectively,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,184,1,0.17728042602539062
49,https://www.engageny.org/content/danielson-rubric-teacher-develops-engaging-activities-and-assignments,Danielson Rubric: Teacher Develops Engaging Activities and Assignments,['Wed 01/20/2016'],['NYSED'],['Teacher/Leader Effectiveness'],,,,265,1,0.17728042602539062
